0	0	1364
0	0.05	1364
0	0.1	1362
0	0.15	1361
0	0.2	1361
0	0.25	1360
0	0.3	1360
0	0.35	1361
0	0.4	1363
0	0.45	1365
0	0.5	1368
0	0.55	1373
0	0.6	1378
0	0.65	1384
0	0.7	1391
0	0.75	1400
0	0.8	1404
0	0.85	1409
0	0.9	1415
0	0.95	1421
0	1	1427
0.05	0	1361
0.05	0.05	1360
0.05	0.1	1358
0.05	0.15	1357
0.05	0.2	1357
0.05	0.25	1356
0.05	0.3	1356
0.05	0.35	1357
0.05	0.4	1359
0.05	0.45	1362
0.05	0.5	1365
0.05	0.55	1369
0.05	0.6	1374
0.05	0.65	1381
0.05	0.7	1388
0.05	0.75	1397
0.05	0.8	1403
0.05	0.85	1408
0.05	0.9	1414
0.05	0.95	1421
0.1	0	1354
0.1	0.05	1353
0.1	0.1	1351
0.1	0.15	1350
0.1	0.2	1349
0.1	0.25	1349
0.1	0.3	1349
0.1	0.35	1350
0.1	0.4	1351
0.1	0.45	1354
0.1	0.5	1358
0.1	0.55	1362
0.1	0.6	1368
0.1	0.65	1374
0.1	0.7	1383
0.1	0.75	1391
0.1	0.8	1401
0.1	0.85	1406
0.1	0.9	1414
0.15	0	1348
0.15	0.05	1347
0.15	0.1	1345
0.15	0.15	1343
0.15	0.2	1342
0.15	0.25	1342
0.15	0.3	1342
0.15	0.35	1343
0.15	0.4	1344
0.15	0.45	1347
0.15	0.5	1351
0.15	0.55	1355
0.15	0.6	1361
0.15	0.65	1369
0.15	0.7	1378
0.15	0.75	1387
0.15	0.8	1397
0.15	0.85	1406
0.2	0	1341
0.2	0.05	1340
0.2	0.1	1338
0.2	0.15	1336
0.2	0.2	1335
0.2	0.25	1335
0.2	0.3	1335
0.2	0.35	1336
0.2	0.4	1338
0.2	0.45	1340
0.2	0.5	1345
0.2	0.55	1350
0.2	0.6	1356
0.2	0.65	1364
0.2	0.7	1373
0.2	0.75	1383
0.2	0.8	1397
0.25	0	1335
0.25	0.05	1334
0.25	0.1	1331
0.25	0.15	1330
0.25	0.2	1328
0.25	0.25	1328
0.25	0.3	1328
0.25	0.35	1329
0.25	0.4	1331
0.25	0.45	1335
0.25	0.5	1339
0.25	0.55	1345
0.25	0.6	1352
0.25	0.65	1361
0.25	0.7	1370
0.25	0.75	1383
0.3	0	1329
0.3	0.05	1328
0.3	0.1	1325
0.3	0.15	1324
0.3	0.2	1322
0.3	0.25	1322
0.3	0.3	1322
0.3	0.35	1324
0.3	0.4	1326
0.3	0.45	1330
0.3	0.5	1335
0.3	0.55	1342
0.3	0.6	1349
0.3	0.65	1358
0.3	0.7	1370
0.35	0	1324
0.35	0.05	1323
0.35	0.1	1320
0.35	0.15	1319
0.35	0.2	1317
0.35	0.25	1317
0.35	0.3	1318
0.35	0.35	1320
0.35	0.4	1323
0.35	0.45	1328
0.35	0.5	1333
0.35	0.55	1340
0.35	0.6	1348
0.35	0.65	1358
0.4	0	1320
0.4	0.05	1318
0.4	0.1	1316
0.4	0.15	1314
0.4	0.2	1313
0.4	0.25	1313
0.4	0.3	1314
0.4	0.35	1317
0.4	0.4	1320
0.4	0.45	1325
0.4	0.5	1332
0.4	0.55	1339
0.4	0.6	1348
0.45	0	1316
0.45	0.05	1315
0.45	0.1	1313
0.45	0.15	1311
0.45	0.2	1311
0.45	0.25	1312
0.45	0.3	1313
0.45	0.35	1315
0.45	0.4	1319
0.45	0.45	1325
0.45	0.5	1332
0.45	0.55	1339
0.5	0	1314
0.5	0.05	1313
0.5	0.1	1311
0.5	0.15	1310
0.5	0.2	1309
0.5	0.25	1310
0.5	0.3	1312
0.5	0.35	1315
0.5	0.4	1320
0.5	0.45	1326
0.5	0.5	1332
0.55	0	1313
0.55	0.05	1313
0.55	0.1	1311
0.55	0.15	1310
0.55	0.2	1310
0.55	0.25	1312
0.55	0.3	1313
0.55	0.35	1318
0.55	0.4	1323
0.55	0.45	1326
0.6	0	1313
0.6	0.05	1312
0.6	0.1	1311
0.6	0.15	1311
0.6	0.2	1311
0.6	0.25	1313
0.6	0.3	1316
0.6	0.35	1321
0.6	0.4	1323
0.65	0	1315
0.65	0.05	1314
0.65	0.1	1313
0.65	0.15	1313
0.65	0.2	1314
0.65	0.25	1317
0.65	0.3	1320
0.65	0.35	1321
0.7	0	1318
0.7	0.05	1318
0.7	0.1	1317
0.7	0.15	1317
0.7	0.2	1319
0.7	0.25	1322
0.7	0.3	1320
0.75	0	1323
0.75	0.05	1323
0.75	0.1	1322
0.75	0.15	1323
0.75	0.2	1325
0.75	0.25	1322
0.8	0	1328
0.8	0.05	1328
0.8	0.1	1328
0.8	0.15	1330
0.8	0.2	1325
0.85	0	1334
0.85	0.05	1335
0.85	0.1	1335
0.85	0.15	1330
0.9	0	1342
0.9	0.05	1342
0.9	0.1	1335
0.95	0	1351
0.95	0.05	1342
1	0	1351
